CodigoCanton,CodigoParroquia,Nombre
0101,010150,CUENCA
0101,010151,BAÑOS
0101,010152,CUMBE
0101,010153,CHAUCHA
0101,010154,CHECA
0101,010155,CHIQUINTAD
0101,010156,LLACAO
0101,010157,MOLLETURO
0101,010158,NULTI
0101,010159,OCTAVIO CORDERO PALACIOS
0101,010160,PACCHA
0101,010161,QUINGEO
0101,010162,RICAURTE
0101,010163,SAN JOAQUÍN
0101,010164,SANTA ANA
0101,010165,SAYAUSÍ
0101,010166,SIDCAY
0101,010167,SININCAY
0101,010168,TARQUI
0101,010169,TURI
0101,010170,VALLE
0101,010171,VICTORIA DEL PORTETE
0102,010250,GIRÓN
0102,010251,LA ASUNCIÓN
0102,010252,SAN GERARDO
0103,010350,GUALACEO
0103,010352,DANIEL CÓRDOVA TORAL
0103,010353,JADÁN
0103,010354,MARIANO MORENO
0103,010356,REMIGIO CRESPO TORAL
0103,010357,SAN JUAN
0103,010358,ZHIDMAD
0103,010359,LUIS CORDERO VEGA
0103,010360,SIMÓN BOLÍVAR
0104,010450,NABÓN
0104,010451,COCHAPATA
0104,010452,EL PROGRESO
0104,010453,LAS NIEVES
0105,010550,PAUTE
0105,010552,BULÁN
0105,010553,CHICÁN
0105,010554,EL CABO
0105,010556,GUARAINAG
0105,010559,SAN CRISTÓBAL
0105,010561,TOMEBAMBA
0105,010562,DUG DUG
0106,010650,PUCARÁ
0106,010652,SAN RAFAEL DE SHARUG
0107,010750,SAN FERNANDO
0107,010751,CHUMBLÍN
0108,010850,SANTA ISABEL
0108,010851,ABDÓN CALDERÓN
0108,010852,EL CARMEN DE PIJILÍ
0108,010853,SHAGLLI
0108,010854,SAN SALVADOR DE CAÑARIBAMBA
0109,010950,SÍGSIG
0109,010951,CUCHIL
0109,010952,JIMA
0109,010953,GÜEL
0109,010954,LUDO
0109,010955,SAN BARTOLOMÉ
0109,010956,SAN JOSÉ DE RARANGA
0110,011050,SAN FELIPE DE OÑA
0110,011051,SUSUDEL
0111,011150,CHORDELEG
0111,011151,PRINCIPAL
0111,011152,LA UNIÓN
0111,011153,LUIS GALARZA ORELLANA
0111,011154,SAN MARTÍN DE PUZHIO
0112,011250,EL PAN
0112,011253,SAN VICENTE
0113,011350,SEVILLA DE ORO
0113,011351,AMALUZA
0113,011352,PALMAS
0114,011450,GUACHAPALA
0115,011550,CAMILO PONCE ENRÍQUEZ
0201,020150,GUARANDA
0201,020151,FACUNDO VELA
0201,020153,JULIO E. MORENO
0201,020155,SALINAS
0201,020156,SAN LORENZO
0201,020157,SAN SIMÓN
0201,020158,SANTA FE
0201,020159,SIMIÁTUG
0201,020160,SAN LUIS DE PAMBIL
0202,020250,CHILLANES
0202,020251,SAN JOSÉ DEL TAMBO
0203,020350,SAN JOSÉ DE CHIMBO
0203,020351,ASUNCIÓN
0203,020353,LA MAGDALENA
0203,020354,SAN SEBASTIÁN
0203,020355,TELIMBELA
0204,020450,ECHEANDÍA
0205,020550,SAN MIGUEL
0205,020551,BALSAPAMBA
0205,020552,BILOVÁN
0205,020553,RÉGULO DE MORA
0205,020554,SAN PABLO
0205,020555,SANTIAGO
0205,020556,SAN VICENTE
0206,020650,CALUMA
0207,020750,LAS NAVES
0301,030150,AZOGUES
0301,030151,COJITAMBO
0301,030153,GUAPÁN
0301,030154,JAVIER LOYOLA
0301,030155,LUIS CORDERO
0301,030156,PINDILIG
0301,030157,RIVERA
0301,030158,SAN MIGUEL
0301,030160,TADAY
0302,030250,BIBLIÁN
0302,030251,NAZÓN
0302,030252,SAN FRANCISCO DE SAGEO
0302,030253,TURUPAMBA
0302,030254,JERUSALÉN
0303,030350,CAÑAR
0303,030351,CHONTAMARCA
